epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.1419,1.48916,4.8187,1.14342,0.03994,0.33497,0.06731,0.04411,1.18496,3.24108,0.97308,0.00332504,0.00332504,0.00332504
2,70.2459,1.34156,3.39817,1.13415,0.25628,0.25435,0.21289,0.14412,1.23432,2.5905,0.9979,0.00659246,0.00659246,0.00659246
3,102.602,1.33545,2.849,1.17742,0.26211,0.64886,0.41594,0.25633,1.41959,2.20681,1.05875,0.00979387,0.00979387,0.00979387
4,134.219,1.31611,2.51314,1.18709,0.30769,0.71174,0.53686,0.37942,1.18276,1.92263,0.98846,0.009703,0.009703,0.009703
5,165.393,1.26115,2.16747,1.16993,0.33973,0.69372,0.59054,0.40158,1.26811,1.77985,1.01589,0.009604,0.009604,0.009604
6,196.654,1.22547,1.91215,1.1483,0.50945,0.63552,0.65025,0.44653,1.25788,1.81833,1.00355,0.009505,0.009505,0.009505
7,228.363,1.18489,1.71988,1.14624,0.48631,0.74235,0.75566,0.53425,1.17214,1.45574,0.97936,0.009406,0.009406,0.009406
8,263.687,1.16434,1.55467,1.13435,0.66381,0.56118,0.66869,0.47407,1.17687,1.5509,0.98141,0.009307,0.009307,0.009307
9,300.333,1.13974,1.39745,1.12319,0.54341,0.79514,0.79521,0.56132,1.15128,1.41108,0.97486,0.009208,0.009208,0.009208
10,331.388,1.105,1.28896,1.10286,0.647,0.80019,0.82558,0.57326,1.18284,1.21158,0.98205,0.009109,0.009109,0.009109
11,362.06,1.09612,1.21405,1.10477,0.71016,0.85529,0.88456,0.63667,1.14696,0.93978,0.97431,0.00901,0.00901,0.00901
12,392.392,1.07915,1.15672,1.0978,0.64556,0.86268,0.90258,0.64263,1.1832,1.00742,0.98461,0.008911,0.008911,0.008911
13,422.616,1.06457,1.09537,1.0874,0.81071,0.76045,0.90258,0.63357,1.17614,1.02835,0.9814,0.008812,0.008812,0.008812
14,452.912,1.05824,1.05365,1.08541,0.69933,0.82735,0.89333,0.60552,1.31657,1.07202,1.03792,0.008713,0.008713,0.008713
15,482.867,1.04691,1.03936,1.08886,0.75606,0.81768,0.887,0.59437,1.2687,0.96589,1.01355,0.008614,0.008614,0.008614
16,512.178,1.03193,1.00162,1.08122,0.70044,0.85727,0.9086,0.64284,1.15659,0.91802,0.97694,0.008515,0.008515,0.008515
